"x coords","y coords","z coords","Ux meas","Uy meas","Uz meas","meas number","move id","U abs"
0.08739403702236,-0.022275022193154,0.011349877021395,-0.1404798833,0.4141585749,-0.07484988851,43,0,0.443694070937555
0.08540333702236,-0.022274922193154,0.011349977021394,-0.142286002,0.419477731,-0.07315389676,43,0,0.44895252063133
0.08339443702236,-0.022275822193154,0.011349377021394,-0.1448454386,0.4252823398,-0.07184235757,43,0,0.454979773144043
0.08140463702236,-0.022276222193154,0.011348177021394,-0.1482144018,0.431792223,-0.07104134043,43,0,0.462016130448175
0.07939573702236,-0.022275822193154,0.011349177021394,-0.1507057334,0.4376872592,-0.06960551572,43,0,0.468110331828178
0.07739413702236,-0.022275322193154,0.011350077021394,-0.1522007703,0.4423606325,-0.06746233401,43,0,0.472651214084752
0.07540103702236,-0.022274822193154,0.011349377021394,-0.1547236265,0.4476747318,-0.06589360112,43,0,0.478219649071507
0.07339613702236,-0.022275022193154,0.011350377021394,-0.157889762,0.453634614,-0.06453627252,43,0,0.484642621355284
0.07140173702236,-0.022275622193154,0.011350077021394,-0.1599147682,0.4585932502,-0.0625964671,43,0,0.489692576940738
0.06940263702236,-0.022276122193154,0.011350077021394,-0.1613137444,0.4626166763,-0.06017111566,43,0,0.493616122592219
0.06739193702236,-0.022275822193154,0.011349677021395,-0.1636263378,0.4671279347,-0.05824320358,43,0,0.498371705218292
0.06539963702236,-0.022275622193154,0.011348877021395,-0.16619886,0.4722216172,-0.05635424223,43,0,0.503776852816404
0.06339433702236,-0.022275122193154,0.011348977021394,-0.168084385,0.4765389325,-0.05418935516,43,0,0.508210783909319
0.06140223702236,-0.022274922193154,0.011348477021394,-0.1692207558,0.4796565969,-0.05155705942,43,0,0.511237953911141
0.05939483702236,-0.022275622193154,0.011349177021394,-0.1708576532,0.4832335376,-0.04923280145,43,0,0.514908592137514
0.05739473702236,-0.022276222193154,0.011349877021395,-0.1729442215,0.4874634,-0.04707207705,43,0,0.519370821790753
0.05540503702236,-0.022275722193154,0.011349677021395,-0.1744924932,0.4909439641,-0.04474216974,43,0,0.522948819505711
0.05340583702236,-0.022274922193154,0.011351677021394,-0.1752202345,0.4932894258,-0.0419936165,43,0,0.525166689738675
0.05138963702236,-0.022274822193154,0.011349577021394,-0.1763750442,0.4958300204,-0.03953585568,43,0,0.527748661041187
0.04940473702236,-0.022275622193154,0.011348977021394,-0.1777323842,0.4989197237,-0.03716788965,43,0,0.530934217310709
0.04739363702236,-0.022276422193154,0.011347377021394,-0.1790085337,0.5013987443,-0.03477286625,43,0,0.533529669418938
0.04540463702236,-0.022276022193154,0.011348577021394,-0.1793731478,0.5029499914,-0.03220063193,43,0,0.534948876714058
0.04340483702236,-0.022275022193154,0.011348977021394,-0.179870403,0.5045559708,-0.02965634698,43,0,0.536478879790725
0.04140413702236,-0.022275122193154,0.011349677021395,-0.1806956919,0.5065837466,-0.02730919431,43,0,0.538538594238495
0.03939563702236,-0.022275522193154,0.011349577021394,-0.1813223167,0.5082280982,-0.02495609497,43,0,0.540181811068825
0.03739763702236,-0.022275922193154,0.011350577021395,-0.1814623927,0.5089494355,-0.02255661156,43,0,0.540802115921569
0.03539403702236,-0.022276122193154,0.011349877021395,-0.1813957748,0.5097469222,-0.02020678289,43,0,0.541437591863022
0.03339273702236,-0.022275822193154,0.011349577021394,-0.1818519886,0.510749358,-0.01801424378,43,0,0.542456971043927
0.03140803702236,-0.022275122193154,0.011348877021395,-0.1820795007,0.5113701543,-0.01588890209,43,0,0.54305141238523
0.02939233702236,-0.022275122193154,0.011348277021394,-0.1816762243,0.5113368389,-0.01367673895,43,0,0.54282471063913
0.02739573702236,-0.022275222193154,0.011348677021394,-0.1812681896,0.5113392186,-0.01161383735,43,0,0.542642455266184
0.02539663702236,-0.022275622193154,0.011348277021394,-0.1813202349,0.5114468986,-0.00961248384,43,0,0.542722173415942
0.02340133702236,-0.022276222193154,0.011350777021394,-0.1811777796,0.5114174502,-0.007773474564,43,0,0.542617381860048
0.02140433702236,-0.022276022193154,0.011350777021394,-0.1805110056,0.5109352697,-0.005917517261,43,0,0.541917050826664
0.01940283702236,-0.022275322193154,0.011350777021394,-0.1798831912,0.5101294541,-0.004153138755,43,0,0.540931854283123
0.01740313702236,-0.022275222193154,0.011350477021394,-0.1794406579,0.5093587387,-0.002509180419,43,0,0.540047748244556
0.01540383702236,-0.022275622193154,0.011349377021394,-0.17904214,0.5086433505,-0.000918147493,43,0,0.5392355597496
0.01339253702236,-0.022275922193154,0.011348577021394,-0.1784095672,0.5076587623,0.0005842799745,43,0,0.538096398419045
0.01140643702236,-0.022276422193154,0.011348177021394,-0.1775054669,0.5063240652,0.002091762116,43,0,0.536541354649193
0.009406637022359,-0.022275822193154,0.011348677021394,-0.1769612223,0.5049661663,0.003439278696,43,0,0.535086845235031
0.007399737022359,-0.022275022193154,0.011348877021395,-0.1761436659,0.5036766829,0.004702947158,43,0,0.533609323049934
0.005408137022359,-0.022275522193154,0.011349677021395,-0.1754108688,0.5023306824,0.005944612922,43,0,0.532109411490168
0.00339713702236,-0.022276022193154,0.011349877021395,-0.1745052815,0.5005364116,0.007157437311,43,0,0.530132079313882
0.001393837022359,-0.022276022193154,0.011350077021394,-0.1736389512,0.4987361917,0.00828314291,43,0,0.528163691237596
-0.000600562977641,-0.022275922193154,0.011349677021395,-0.172930541,0.4970168805,0.009250072283,43,0,0.526323394264158
-0.002599462977641,-0.022275522193154,0.011349677021395,-0.1719901577,0.495213686,0.010226219003,43,0,0.524329843421557
-0.004597962977641,-0.022274922193154,0.011348977021394,-0.171113121,0.4930261748,0.01112684295,43,0,0.521994555383784
-0.006593662977641,-0.022275622193154,0.011348177021394,-0.1701299119,0.490893991,0.01197335215,43,0,0.519677263775045
-0.008605662977641,-0.022276122193154,0.011348877021395,-0.1691050666,0.4888540194,0.01279993999,43,0,0.517434647368219
-0.010598762977641,-0.022276122193154,0.011349177021394,-0.1686104881,0.4869205379,0.01351116234,43,0,0.515464507443455
-0.012594862977641,-0.022275622193154,0.011350577021395,-0.167378354,0.4844825666,0.01421970868,43,0,0.512777798702339
-0.014604962977641,-0.022275122193154,0.011350777021394,-0.1662229495,0.4819330482,0.01483816289,43,0,0.510009512622827
-0.016594462977641,-0.022275122193154,0.011351477021395,-0.165443163,0.4797476193,0.0154575091,43,0,0.507708728499953
